,Review,Ratings
0,"Nice product Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4
1,Don't waste your money They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1
2,Did not meet expectations Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1
3,"Fair Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",3
4,Over priced Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1
5,Mind-blowing purchase Good quality product. Delivered on time.READ MORE,5
6,Must buy! BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5
7,Classy product Good quality original shuttles.READ MORE,5
8,Great product AwesomeREAD MORE,5
9,Just wow! nice original productsREAD MORE,5
10,Just wow! This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5
11,Terrific purchase Best in class....READ MORE,5
12,Worth every penny it's genuine and price is less than our near by shopREAD MORE,5
13,"Did not meet expectations This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1
14,Worth every penny really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5
15,Brilliant NycREAD MORE,5
16,I think it is duplicate I usually buy them the same model but this did not last even for a dayREAD MORE,1
17,"Slightly disappointed Poor quality, not originalREAD MORE",2
18,Super! Delivered on expected timeREAD MORE,5
19,Awesome nice and original productREAD MORE,5
20,Awesome Very nice and Good price compare then local sports.READ MORE,5
21,Highly recommended It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5
22,Nice product superbREAD MORE,4
23,"Unsatisfactory Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1
24,Nice product Genuine product at very reasonable price....got for Rs 630/-READ MORE,4
25,Fabulous! Good sealed Original Yonex ShuttlesREAD MORE,5
26,Not good They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2
27,Good choice I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4
28,Great product quality is pooverREAD MORE,5
29,Best in the market! good productREAD MORE,5
30,Super! Good product.....READ MORE,5
31,Very Good Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4
32,"Slightly disappointed After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2
33,Did not meet expectations Local productREAD MORE,1
34,Not good Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2
35,Not good shuttle is over rotatingREAD MORE,2
36,Absolute rubbish! Very bad quality.READ MORE,1
37,Worst experience ever! Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1
38,Decent product Not expecting this kind of products from flipkart.READ MORE,3
39,Awesome No one better shuttles in the market.good quality and reasonable price.READ MORE,5
40,Did not meet expectations low qualityREAD MORE,1
41,Really Nice Superb quality... And best price.. Thanks to flipkart..!READ MORE,4
42,Utterly Disappointed second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1
43,Really Nice I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4
44,Not recommended at all Very bad quality this timeREAD MORE,1
45,"Absolute rubbish! I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1
46,"Horrible Quality is not good, rejected qualityREAD MORE",1
47,Mind-blowing purchase This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5
48,Terrific purchase Really Nice productQuick delivery Thanks filpkartREAD MORE,5
49,Awesome Very nice shuttleREAD MORE,5
50,Don't waste your money Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1
